algorithm,mode,backend,repeat,transpile_seed,job_id,flow_bits,reads,probability,surrogate_qubo_energy,top50_rank,exact_repaired_qubo_energy,match,matched_ip_obj,repaired_aux_bits,repaired_full_bits
QAOA_reduced_surrogate_JuliQAOA_IBM_pilot,hardware,ibm_fez,1,92001,d8pg2hmgbcrc73f20540,1010010000000000000,1,0.000244140625,184.39194374996237,,,,,,
QAOA_reduced_surrogate_JuliQAOA_IBM_pilot,hardware,ibm_fez,1,92001,d8pg2hmgbcrc73f20540,1001010000000000000,1,0.000244140625,173.7874687499791,,,,,,
QAOA_reduced_surrogate_JuliQAOA_IBM_pilot,hardware,ibm_fez,1,92001,d8pg2hmgbcrc73f20540,0101110000000000000,1,0.000244140625,358.49664374999224,,,,,,
QAOA_reduced_surrogate_JuliQAOA_IBM_pilot,hardware,ibm_fez,1,92001,d8pg2hmgbcrc73f20540,0000101000000000000,1,0.000244140625,245.7464187500127,,,,,,
QAOA_reduced_surrogate_JuliQAOA_IBM_pilot,hardware,ibm_fez,1,92001,d8pg2hmgbcrc73f20540,1101101000000000000,1,0.000244140625,296.33319374999473,,,,,,
QAOA_reduced_surrogate_JuliQAOA_IBM_pilot,hardware,ibm_fez,1,92001,d8pg2hmgbcrc73f20540,0100011000000000000,1,0.000244140625,523.6392687499663,,,,,,
QAOA_reduced_surrogate_JuliQAOA_IBM_pilot,hardware,ibm_fez,1,92001,d8pg2hmgbcrc73f20540,1101000100000000000,1,0.000244140625,451.6803187499779,,,,,,
QAOA_reduced_surrogate_JuliQAOA_IBM_pilot,hardware,ibm_fez,1,92001,d8pg2hmgbcrc73f20540,1000010100000000000,1,0.000244140625,195.03911874997402,,,,,,
QAOA_reduced_surrogate_JuliQAOA_IBM_pilot,hardware,ibm_fez,1,92001,d8pg2hmgbcrc73f20540,0001010100000000000,1,0.000244140625,219.53576874999408,,,,,,
QAOA_reduced_surrogate_JuliQAOA_IBM_pilot,hardware,ibm_fez,1,92001,d8pg2hmgbcrc73f20540,0100011100000000000,1,0.000244140625,438.1426687499734,,,,,,
QAOA_reduced_surrogate_JuliQAOA_IBM_pilot,hardware,ibm_fez,1,92001,d8pg2hmgbcrc73f20540,1101111100000000000,1,0.000244140625,371.1427187499962,,,,,,
QAOA_reduced_surrogate_JuliQAOA_IBM_pilot,hardware,ibm_fez,1,92001,d8pg2hmgbcrc73f20540,0010000010000000000,1,0.000244140625,279.0815437499848,,,,,,
QAOA_reduced_surrogate_JuliQAOA_IBM_pilot,hardware,ibm_fez,1,92001,d8pg2hmgbcrc73f20540,1000010010000000000,1,0.000244140625,276.04164374997345,,,,,,
