algorithm,seed,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,optimizer_reads,final_reads,maximum_iterations,initial_parameter_count,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension
VQE,73005,1,1,0.0001220703125,271.1413,1.1368683772161603e-13,gurobi_pool,gurobi_pool,projection_only_gurobi_pool,false,00000101010000101,100111011001101001100000101010000101,14.651499999999885,256.4898,8,14.651499999999999,1001110110011010011,100111011001101001101100000110011100,128,8192,25,288,true,single,36,1.0e-10,64
VQE,73005,113,1,0.0001220703125,528.0985999999996,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,01000000010001110,000011010011100101101000000010001110,57.86729999999981,470.23129999999986,9,,0000110100111001011,000011010011100101111100111011100100,128,8192,25,288,true,single,36,1.0e-10,64
VQE,73005,116,1,0.0001220703125,529.5134999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000000010101000,110011010011000010100000000010101000,59.282199999999705,470.2313,9,,1100110100110000101,110011010011000010101101101011110001,128,8192,25,288,true,single,36,1.0e-10,64
VQE,73005,136,1,0.0001220703125,534.0614999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000001011100101,010011010101101001100000001011100101,63.830200000000026,470.23129999999975,9,,0100110101011010011,010011010101101001101100011100000000,128,8192,25,288,true,single,36,1.0e-10,64
VQE,73005,285,1,0.0001220703125,621.4160999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000101110000011,110010110101110001100000101110000011,65.6882,555.7278999999996,9,,1100101101011100011,110010110101110001111010100011001000,128,8192,25,288,true,single,36,1.0e-10,64
VQE,73005,208,1,0.0001220703125,578.7687999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000101110000101,110010110101101001100000101110000101,65.78919999999988,512.9795999999999,10,,1100101101011010011,110010110101101001101010101001111011,128,8192,25,288,true,single,36,1.0e-10,64
VQE,73005,11,1,0.0001220703125,386.83559999999983,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00010001011100011,110011010000010001100010001011100011,87.59749999999988,299.2380999999999,7,,1100110100000100011,110011010000010001110010101110001001,128,8192,25,288,true,single,36,1.0e-10,64
VQE,73005,87,1,0.0001220703125,515.0804999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00010001011100011,110011000000010001100010001011100011,87.59749999999988,427.48299999999983,10,,1100110000000100011,110011000000010001111000011101001101,128,8192,25,288,true,single,36,1.0e-10,64
VQE,73005,220,1,0.0001220703125,600.6780999999999,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00010001011100101,110011000000101001100010001011100101,87.69849999999988,512.9795999999999,10,,1100110000001010011,110011000000101001110101111101101100,128,8192,25,288,true,single,36,1.0e-10,64
VQE,73005,26,1,0.0001220703125,430.1158999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00010001011100110,110011000000000101100010001011100110,88.12949999999992,341.9863999999998,8,,1100110000000001011,110011000000000101100111011010111101,128,8192,25,288,true,single,36,1.0e-10,64
VQE,73005,48,1,0.0001220703125,472.8751999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00010100011100110,101011000000100101100010100011100110,88.14049999999989,384.73469999999986,9,,1010110000001001011,101011000000100101111010011110101100,128,8192,25,288,true,single,36,1.0e-10,64
