algorithm,mode,backend,repeat,transpile_seed,job_id,full_bits,flow_bits,reads,probability,raw_qubo_energy,exact_repaired_qubo_energy,top50_rank,match,matched_ip_obj,repaired_aux_bits,repaired_full_bits,encoded_repaired_match
QAOA_direct_full_qubo_IBM_handoff,hardware,ibm_fez,1,92001,d8qra7ekodhs7383ln60,111110000000001111001000000000000000,1111100000000011110,1,0.000244140625,1720.5572999999995,1293.0742999999995,,not_top50,,00110000010100100,111110000000001111000110000010100100,false
QAOA_direct_full_qubo_IBM_handoff,hardware,ibm_fez,1,92001,d8qra7ekodhs7383ln60,010010001000010100111000000000000000,0100100010000101001,1,0.000244140625,1037.1910999999996,737.9529999999997,,not_top50,,10100001011000000,010010001000010100110100001011000000,false
QAOA_direct_full_qubo_IBM_handoff,hardware,ibm_fez,1,92001,d8qra7ekodhs7383ln60,000010110000000111001100000000000000,0000101100000001110,1,0.000244140625,1129.0087999999996,573.2809,,not_top50,,01010111110000110,000010110000000111001010111110000110,false
QAOA_direct_full_qubo_IBM_handoff,hardware,ibm_fez,1,92001,d8qra7ekodhs7383ln60,110000011010101000111010000000000000,1100000110101010001,1,0.000244140625,822.6315999999995,566.1417999999998,,not_top50,,10100000010000000,110000011010101000110100000010000000,false
QAOA_direct_full_qubo_IBM_handoff,hardware,ibm_fez,1,92001,d8qra7ekodhs7383ln60,100010010100000000110001000000000000,1000100101000000001,1,0.000244140625,693.6897999999997,351.7033999999998,,not_top50,,11101101011000000,100010010100000000111101101011000000,false
QAOA_direct_full_qubo_IBM_handoff,hardware,ibm_fez,1,92001,d8qra7ekodhs7383ln60,100011111100101111100101000000000000,1000111111001011111,1,0.000244140625,1826.7315999999992,1014.5138999999997,,not_top50,,01000111110000100,100011111100101111101000111110000100,false
QAOA_direct_full_qubo_IBM_handoff,hardware,ibm_fez,1,92001,d8qra7ekodhs7383ln60,100011010100000100111101000000000000,1000110101000001001,1,0.000244140625,652.2124999999997,310.2260999999999,,not_top50,,11000101011000000,100011010100000100111000101011000000,false
QAOA_direct_full_qubo_IBM_handoff,hardware,ibm_fez,1,92001,d8qra7ekodhs7383ln60,111010001001100111101111000000000000,1110100010011001111,1,0.000244140625,1047.9779999999998,449.50180000000023,,not_top50,,00100000011100110,111010001001100111100100000011100110,false
QAOA_direct_full_qubo_IBM_handoff,hardware,ibm_fez,1,92001,d8qra7ekodhs7383ln60,101000010000011101111000100000000000,1010000100000111011,1,0.000244140625,1243.9235999999996,901.9371999999996,,not_top50,,00110100011000000,101000010000011101100110100011000000,false
QAOA_direct_full_qubo_IBM_handoff,hardware,ibm_fez,1,92001,d8qra7ekodhs7383ln60,101000111000101101100100100000000000,1010001110001011011,1,0.000244140625,570.3637999999997,356.62229999999994,,not_top50,,00000111010000100,101000111000101101100000111010000100,false
QAOA_direct_full_qubo_IBM_handoff,hardware,ibm_fez,1,92001,d8qra7ekodhs7383ln60,010100010010110100111100100000000000,0101000100101101001,1,0.000244140625,1205.4657999999995,948.9759999999997,,not_top50,,10100000000000000,010100010010110100110100000000000000,false
QAOA_direct_full_qubo_IBM_handoff,hardware,ibm_fez,1,92001,d8qra7ekodhs7383ln60,101000011010100000000010100000000000,1010000110101000000,1,0.000244140625,864.5508999999994,522.5644999999997,,not_top50,,10101000010000000,101000011010100000010101000010000000,false
QAOA_direct_full_qubo_IBM_handoff,hardware,ibm_fez,1,92001,d8qra7ekodhs7383ln60,110000110000111100111010100000000000,1100001100001111001,1,0.000244140625,1375.7834999999995,1119.2936999999997,,not_top50,,10010101110000000,110000110000111100110010101110000000,false
QAOA_direct_full_qubo_IBM_handoff,hardware,ibm_fez,1,92001,d8qra7ekodhs7383ln60,010011111010001001100110100000000000,0100111110100010011,1,0.000244140625,1002.9168,489.9372000000001,,not_top50,,00000001000101101,010011111010001001100000001000101101,false
QAOA_direct_full_qubo_IBM_handoff,hardware,ibm_fez,1,92001,d8qra7ekodhs7383ln60,100000111010101101001001100000000000,1000001110101011010,1,0.000244140625,872.9139999999995,659.1724999999994,,not_top50,,01000101000000100,100000111010101101001000101000000100,false
QAOA_direct_full_qubo_IBM_handoff,hardware,ibm_fez,1,92001,d8qra7ekodhs7383ln60,101010000000011100100101100000000000,1010100000000111001,1,0.000244140625,1670.0735999999993,1199.8422999999998,,not_top50,,10110100011000000,101010000000011100110110100011000000,false
QAOA_direct_full_qubo_IBM_handoff,hardware,ibm_fez,1,92001,d8qra7ekodhs7383ln60,110000111000100000100011100000000000,1100001110001000001,1,0.000244140625,609.6570999999998,310.4189999999999,,not_top50,,10001101110000000,110000111000100000110001101110000000,false
QAOA_direct_full_qubo_IBM_handoff,hardware,ibm_fez,1,92001,d8qra7ekodhs7383ln60,100010001110111100100011100000000000,1000100011101111001,1,0.000244140625,2715.2548999999985,2074.030399999998,,not_top50,,11100000010000000,100010001110111100111100000010000000,false
QAOA_direct_full_qubo_IBM_handoff,hardware,ibm_fez,1,92001,d8qra7ekodhs7383ln60,000100000010000101100011100000000000,0001000000100001011,1,0.000244140625,522.0580999999996,265.56829999999974,,not_top50,,00100000000000110,000100000010000101100100000000000110,false
QAOA_direct_full_qubo_IBM_handoff,hardware,ibm_fez,1,92001,d8qra7ekodhs7383ln60,100010011110001000011011100000000000,1000100111100010000,1,0.000244140625,1516.292499999999,1131.5577999999996,,not_top50,,11100000010000000,100010011110001000011100000010000000,false
QAOA_direct_full_qubo_IBM_handoff,hardware,ibm_fez,1,92001,d8qra7ekodhs7383ln60,101111011010000000100111100000000000,1011110110100000001,1,0.000244140625,821.9250999999995,479.9386999999996,,not_top50,,10001000000101000,101111011010000000110001000000101000,false
